MlDomainName,MlIntentName,Utterance
Admissions,Application_Status,admision status
Admissions,Application_Status,ADmissions Statis
Admissions,Application_Status,Admissions Status
Admissions,Application_Status,admissions status
Admissions,Application_Status,adms status
Admissions,Application_Status,advice on admissions status
Admissions,Application_Status,advise my application
Admissions,Application_Status,app help
Admissions,Application_Status,app status
Admissions,Application_Status,APP STATUS
Admissions,Application_Status,app status decision
Admissions,Application_Status,applic status
Admissions,Application_Status,applicatin status
Admissions,Application_Status,application review
Admissions,Application_Status,application status
Admissions,Application_Status,application status change
Admissions,Application_Status,application statuse
Admissions,Application_Status,applicaton status
Admissions,Application_Status,apps status
Admissions,Application_Status,appz status
Admissions,Application_Status,Can I check on my application
Admissions,Application_Status,Can I check on my application status
Admissions,Application_Status,can I check on the status of my application?
Admissions,Application_Status,can you check on my admissions application
Admissions,Application_Status,can you find my app status
Admissions,Application_Status,can you find my application
Admissions,Application_Status,can you help check on my admissions application
Admissions,Application_Status,can you help me find my admissions application
Admissions,Application_Status,can you help me find my status of my application
Admissions,Application_Status,can you review my app status
Admissions,Application_Status,check app status
Admissions,Application_Status,check on the status of my app
Admissions,Application_Status,Did I complete my application
Admissions,Application_Status,Did I finish my application
Admissions,Application_Status,Has my application been processed
Admissions,Application_Status,Has my application been received
Admissions,Application_Status,help me find my admissions application
Admissions,Application_Status,help me find my app status
Admissions,Application_Status,help with application status
Admissions,Application_Status,how can i check on my application status
Admissions,Application_Status,how can i find the status of my admissions application
Admissions,Application_Status,How do I check to see if my application has been received
Admissions,Application_Status,How do I check to see if my application is complete
Admissions,Application_Status,how do i find out the status of my app?
Admissions,Application_Status,How do I know if my application has been processed
Admissions,Application_Status,How do I know if my application has been received
Admissions,Application_Status,How do I know if my application is complete
Admissions,Application_Status,How do I know if my application is finished
Admissions,Application_Status,how do I know the status of my application?
Admissions,Application_Status,how will i know the status of my admissions application
Admissions,Application_Status,i need assistance finding my application status
Admissions,Application_Status,i need assistance with my app
Admissions,Application_Status,Is my application complete
Admissions,Application_Status,Is my application finished
Admissions,Application_Status,lookup my application status
Admissions,Application_Status,lookup the status of my application
Admissions,Application_Status,may i check on my app status
Admissions,Application_Status,may you please check on the status of my admissions app
Admissions,Application_Status,may you please check on the status of my admissions application
Admissions,Application_Status,may you please check on the status of my app
Admissions,Application_Status,may you please check on the status of my application
Admissions,Application_Status,my app status
Admissions,Application_Status,my status
Admissions,Application_Status,please check on my app status
Admissions,Application_Status,please check on the status of my application
Admissions,Application_Status,review my adm app status
Admissions,Application_Status,review status app
Admissions,Application_Status,review the application status please
Admissions,Application_Status,review the status of muy app
Admissions,Application_Status,what do i need to know the status of my application
Admissions,Application_Status,what is muy adm app status
Admissions,Application_Status,what is status app
Admissions,Application_Status,what is the application status process
Admissions,Application_Status,what is the statis of my application
Admissions,Application_Status,what is the status of my admissions application?
Admissions,Application_Status,what is the status of my application
Admissions,Application_Status,WHAT IS THE STATUS OF MY APPLICATION
Admissions,Application_Status,what my app status
Admissions,Application_Status,What's the status of my application
Admissions,Application_Status,whats my app status
Admissions,Application_Status,whats the status of my application
Admissions,Application_Status,when will i be notified of my application status?
Admissions,Application_Status,when will i know the decision of my application
Admissions,Application_Status,where can i figure out the status of my application?
Admissions,Application_Status,where do i find my admissions application?
Admissions,Application_Status,where do i go to find my application status
Admissions,Application_Status,where is my application
Admissions,Application_Status,will i be notified the status of my app
Admissions,Application_Status,will i be notified when the decision is made on my application?
Admissions,Application_Status,will i know if my application status changes
Admissions,Application_Status,will i know when my application has been accepted
